query,group,market,clicks,prior_clicks,clicks_delta,clicks_pct,impressions,prior_impressions,impressions_delta,impressions_pct,ctr,prior_ctr,position,prior_position,position_gain,band,prior_band,transition
commercial glazing tennessee,nashville-launch,nashville,1,1,0,0.0,95,88,7,7.95,0.010526,0.011364,27.8,29.2,1.4,page3,page3,flat
eswindows authorized dealer,manufacturer,,5,4,1,25.0,190,175,15,8.57,0.026316,0.022857,11.4,12.1,0.7,page2,page2,flat
eswindows installer florida,manufacturer,,22,11,11,100.0,540,480,60,12.5,0.040741,0.022917,8.2,13.5,5.3,page1,page2,improved
eswindows vs pgt impact windows,comparison,,3,2,1,50.0,130,120,10,8.33,0.023077,0.016667,13.8,14.2,0.4,page2,page2,flat
euro-wall dealer locator,manufacturer,,4,13,-9,-69.23,320,350,-30,-8.57,0.0125,0.037143,14.7,8.9,-5.8,page2,page1,declined
euro-wall folding door installer florida,manufacturer,,9,8,1,12.5,260,245,15,6.12,0.034615,0.032653,7.8,8.4,0.6,page1,page1,flat
euro-wall restaurant installer florida,manufacturer,,6,5,1,20.0,150,140,10,7.14,0.04,0.035714,6.2,6.9,0.7,page1,page1,flat
florida building code glass requirements,compliance,,7,6,1,16.67,380,350,30,8.57,0.018421,0.017143,10.6,11.4,0.8,page2,page2,flat
florida hvhz glazing requirements,compliance,,4,4,0,0.0,195,180,15,8.33,0.020513,0.022222,9.7,9.9,0.2,page1,page1,flat
florida noa explained,compliance,,17,14,3,21.43,620,560,60,10.71,0.027419,0.025,5.9,7.2,1.3,page1,page1,flat
florida product approval search,compliance,,1,1,0,0.0,60,55,5,9.09,0.016667,0.018182,24.2,23.8,-0.4,page3,page3,flat
glass types comparison commercial,educational,,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
government municipal glazing florida,vertical,,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
healthcare glazing florida,vertical,,2,2,0,0.0,140,130,10,7.69,0.014286,0.015385,15.3,15.9,0.6,page2,page2,flat
healthcare glazing nashville,nashville-launch,nashville,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
hospitality hotel glazing florida,vertical,,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
how much does commercial glazing cost,educational,,4,3,1,33.33,290,270,20,7.41,0.013793,0.011111,18.2,19.5,1.3,page2,page2,flat
how to hire commercial glazier florida,educational,,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
miami-dade noa glazing,compliance,,5,4,1,25.0,240,215,25,11.63,0.020833,0.018605,8.4,9.1,0.7,page1,page1,flat
multifamily commercial glazing florida,vertical,,4,3,1,33.33,230,210,20,9.52,0.017391,0.014286,12.9,13.4,0.5,page2,page2,flat
multifamily glazing nashville,nashville-launch,nashville,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
office building glazier florida,vertical,,2,2,0,0.0,95,90,5,5.56,0.021053,0.022222,19.4,19.1,-0.3,page2,page2,flat
pgt installer florida,manufacturer,,3,3,0,0.0,210,200,10,5.0,0.014286,0.015,16.5,16.1,-0.4,page2,page2,flat
restaurant glazier florida,vertical,,5,4,1,25.0,175,160,15,9.38,0.028571,0.025,10.2,11.3,1.1,page2,page2,flat
restaurant glazing nashville,nashville-launch,nashville,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
retail storefront glazing,vertical,,3,3,0,0.0,205,195,10,5.13,0.014634,0.015385,17.6,17.1,-0.5,page2,page2,flat
storefront glazing contractor florida,service-geo,florida-statewide,14,12,2,16.67,470,440,30,6.82,0.029787,0.027273,9.1,9.6,0.5,page1,page1,flat
storefront installer nashville,service-geo,nashville,2,1,1,100.0,120,105,15,14.29,0.016667,0.009524,19.8,22.6,2.8,page2,page3,improved
tennessee building code glazing,compliance,,0,0,0,,0,0,0,,0.0,0.0,,,,unranked,unranked,flat
who is american commercial glass,brand,,6,5,1,20.0,95,88,7,7.95,0.063158,0.056818,4.1,4.4,0.3,page1,page1,flat
