image_stem,encodings,project_group,source_category,rights_status,evidence_ref,note,recorded_date
images/infographics/infographic-commercial-glass-replacement-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-types-explained,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glass-types-guide-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-contractors-tampa-fl,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-cost-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-healthcare-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-inspection-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-lead-times-2026,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-miami-dade-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-miami-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-orlando-fl,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-project-delays-how-to-avoid,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-project-timeline,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-project-turnaround-time-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-safety-standards-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-subcontractor-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-submittal-process-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-tampa-bay-market-2026,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-tampa-bay-what-gcs-need-to-know,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-glazing-warranties-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-security-glass-solutions-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-skylights-glass-ceilings-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-storefront-installation-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-storefront-installation-process,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-storm-proofing-windows-florida-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-vs-residential-glazing-what-is-the-difference,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-commercial-window-permits-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-common-window-problems-florida-commercial-buildings,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-compass-alton-town-center-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-cost-of-impact-windows-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-cubesmart-davie-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-cudjoe-key-fire-station-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-curtainwall-systems-explained-commercial-construction,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-curtainwall-vs-storefront-cost-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-curtainwall-vs-storefront-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-dale-mabry-retail-tampa-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-decorative-glass-storefront-options-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-division-08-specifications-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-do-windows-block-uv-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-eau-palm-beach-resort-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-el-car-wash-northlake-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-emergency-commercial-glass-replacement-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-emergency-commercial-glazier-services-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-energy-efficient-commercial-glass-florida-code,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-energy-efficient-glass-options-florida-businesses,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-estero-vista-fort-myers-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-eurowall-sliding-glass-door-system,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-fire-rated-glass-code-compliance,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-fire-rated-glass-requirements-commercial-buildings,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-fire-rated-glass-requirements-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-florida-building-code-commercial-glazing-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-florida-building-code-commercial-windows-2026,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-florida-building-codes-commercial-glazing-2026,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-florida-commercial-glazing-hurricane-code,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-florida-product-approval-glazing-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-frameless-glass-doors-commercial-spaces,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-ginsberg-eye-center-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-glass-partition-walls-office-commercial-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-glass-thickness-commercial-pros-cons,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-glazing-subcontractor-scope-letter-guide,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-gulf-harbour-country-club-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-gulfside-twelve-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-harbour-cay-fort-pierce-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hardy-world-melbourne-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hca-cape-coral-emergency-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-impact-windows-protect-florida-business,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-long-do-commercial-windows-last-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-long-does-commercial-glass-installation-take,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-long-does-storefront-installation-take,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-much-does-commercial-glazing-cost-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-much-does-commercial-storefront-glass-cost,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-much-does-commercial-storefront-glass-cost-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-much-does-curtainwall-cost-per-square-foot,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-much-does-impact-glass-cost-commercial-buildings-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-tinting-affects-commercial-glass-performance,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-choose-commercial-glass-contractor-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-choose-commercial-glazier-tampa-bay,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-choose-commercial-glazing-contractor-west-palm-beach,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-choose-glazing-contractor,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-choose-glazing-subcontractor,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-evaluate-glazing-subcontractor-bid,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-get-a-glazing-bid-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-get-quote-commercial-window-replacement-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-read-a-door-schedule,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-how-to-spec-commercial-storefront,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hulett-environmental-port-st-lucie-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-impact-sliding-glass-doors-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-impact-vs-non-impact-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-impact-windows-commercial-building-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-impact-windows-complete-guide-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-impact-windows-vs-shutters-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-preparation-commercial-impact-glass,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-proof-windows-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-replacement-windows-commercial-timing-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hurricane-window-installers-cost-hiring-florida-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hvhz-certified-glazing-contractor-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-hvhz-glazing-requirements-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-ifly-miami-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-illumina-fort-myers-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-glass-vs-laminated-glass-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-glass-vs-shutters-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-rated-glass-requirements-florida-2026,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-rated-windows-commercial-specs-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-vs-hurricane-windows-difference-commercial,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-window-contractor-commercial-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-impact-windows-vs-hurricane-shutters,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-imperial-crossings-bonita-springs-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-indiantown-high-school-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-interior-glass-partitions-office-trends,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-klus-lighting-vero-beach-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-lake-park-innovation-center-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-lucie-at-tradition-clubhouse-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-lucie-at-tradition-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-medley-business-park-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-nannette-walsh-top-chef-martin-county-2026,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-noise-reducing-glass-florida-businesses,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-ocean-prime-ft-lauderdale-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-pgt-vs-eswindows-commercial-comparison-florida,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-pointe-palm-bay-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-prepare-building-commercial-glass-installation,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-prestige-marble-bonita-springs-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-professional-installation-commercial-glazing-important,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-project-lift-hobe-sound-glazing,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-questions-to-ask-before-hiring-commercial-glazing-contractor,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
images/infographics/infographic-questions-to-ask-glazing-subcontractor-before-hiring,avif webp,images/infographics,acg_shot,owned,,"carried forward from the prior CSV, not re-derived",2026-09-08
