item_type,published_value,pages,example_page,approval_type,approved_by,approved_date,evidence_ref,status
manufacturer_relationship,Slimpact,404,2143-carib-circle.html,manufacturer relationship,Connor Walsh,2026-09-09,,APPROVED
manufacturer_relationship,Klus,8,commercial-glazing-vero-beach.html,manufacturer relationship,Connor Walsh,2026-09-09,,APPROVED
manufacturer_relationship,Trulite,5,architect-specs/section-08-41-13-aluminum-storefront.html,manufacturer relationship,Connor Walsh,2026-09-09,,APPROVED
general_contractor,DeAngelis Diamond,35,buildingconnected-basisboard-glazing.html,named as GC partner,Connor Walsh,2026-09-09,found 2026-09-09; original ledger was built from a hardcoded list,APPROVED
general_contractor,Curran Young,47,blog/how-to-choose-commercial-glazier-tampa-bay.html,named as GC partner,Connor Walsh,2026-09-09,found 2026-09-09; original ledger was built from a hardcoded list,APPROVED
general_contractor,Pirtle,23,about.html,named as GC partner,Connor Walsh,2026-09-09,found 2026-09-09; original ledger was built from a hardcoded list,APPROVED
general_contractor,Hooks,23,baron-shoppes-tradition.html,named as GC partner,Connor Walsh,2026-09-09,found 2026-09-09; original ledger was built from a hardcoded list,APPROVED
general_contractor,Ahrens,12,blog/bobcat-treasure-coast-glazing.html,named as GC partner,Connor Walsh,2026-09-09,found 2026-09-09; original ledger was built from a hardcoded list,APPROVED
general_contractor,Gates Construction,0,eswindows-installer-naples.html,"name dropped, sentence kept",Connor Walsh,2026-09-09,surfaced 2026-09-09 while working the Verdex contexts,REMOVED
general_contractor,Moss Construction,0,eswindows-installer-fort-lauderdale.html,"name dropped, sentence kept",Connor Walsh,2026-09-09,surfaced 2026-09-09 while working the Verdex contexts,REMOVED
general_contractor,Stiles,0,eswindows-installer-west-palm-beach.html,"name dropped, sentence kept",Connor Walsh,2026-09-09,surfaced 2026-09-09 while working the Verdex contexts,REMOVED
